"","predictm1"
"1",-1.46970892018517
"2",-1.27875265878599
"3",-0.9402446628696
"4",-1.07692379285792
"5",-0.0414113692035634
"6",-2.54491061086707
"7",-1.98077418579187
"8",-0.241867157144485
"9",-1.24538441856628
"10",-2.07526228314811
"11",1.52620823496398
"12",-0.41044360883392
"13",-1.5959312411451
"14",-0.879530805755693
"15",-0.861181276339159
"16",-1.79122430814786
"17",-2.07301673429418
"18",-1.44655537556929
"19",-1.16935150002674
"20",-0.959072412151956
"21",-0.763327912341859
"22",0.288161898863363
"23",-1.22556575004897
"24",0.88143253355188
"25",-0.687676489367002
"26",-3.96322201543961
"27",1.48520986970109
"28",-1.04017234636626
"29",-0.774533046353838
"30",-1.62796018798689
"31",-0.548447766055367
"32",-1.01045432165888
"33",-0.660189462767657
"34",-2.21919625240967
"35",-0.587481830227456
"36",0.414335739146559
"37",-0.7688230248224
"38",-0.251973530535984
"39",0.316011284085944
"40",-1.24396338355115
"41",-1.39884451334124
"42",-1.32643348947273
"43",-1.90367896211242
"44",-1.09551543679291
"45",-1.33504110226309
"46",0.559158363108498
"47",0.667628605051618
"48",3.10653230701822
"49",-0.895077093557113
"50",-1.33946943230543
"51",-0.182297740986527
"52",-1.4118065462267
"53",-1.63987909217746
"54",0.509735398179676
"55",-1.16539176622969
"56",-0.555621072199161
"57",-0.122046494712816
"58",0.696323918328996
"59",-1.31853956021048
"60",-2.00209610613414
"61",-1.02288317456047
"62",0.360510074499709
"63",-0.95593403466351
"64",-2.29884518137253
"65",1.5871807927776
"66",-0.645134402590414
"67",0.0543520023251649
"68",-2.10807145998669
"69",-0.686106131820585
"70",-1.36706084181535
"71",-1.52950778196935
"72",-1.43373504387699
"73",-1.92609483350214
"74",-2.81302011015123
"75",-1.96596289013313
"76",0.982555274538432
"77",-1.45681028122784
"78",-1.40437825455095
"79",-1.21717494025945
"80",-1.88556618780861
"81",-1.89972133861558
"82",-0.776665236834369
"83",1.35016059001856
"84",-3.889036648744
"85",-0.228072321344479
"86",-1.53569394562684
"87",-2.50183329995528
"88",0.404093873001297
"89",-1.44655537556929
"90",-1.52659914458344
"91",-1.45864019840038
"92",-0.660555185639521
"93",3.74463253284651
"94",-2.23685727635896
"95",-2.06460124950285
"96",-2.11033397503679
"97",-0.52609725482991
"98",-1.27138776850127
"99",-1.59939623399394
"100",-2.09620892949807
"101",2.42227466617123
"102",-0.50725413888511
"103",-1.18934978646372
"104",-2.74368624071164
"105",-1.25869150808641
"106",-1.68372903043335
"107",-0.712005617418788
"108",-0.756875665138062
"109",-1.20880143490308
"110",1.45065774286211
"111",-1.51228743698043
"112",-1.65929961921179
"113",-0.652385474940382
"114",-2.47473087243725
"115",-3.65792012205814
"116",-2.74895929029264
"117",-2.55232895560128
"118",-2.05884042239941
"119",-1.93548567097225
"120",1.14826460234347
"121",0.31775169368688
"122",-3.01380742915049
"123",0.601240167520585
"124",-2.48503695233932
"125",-0.805914848074761
"126",-2.19583558840755
"127",-2.84577686453603
"128",-1.14526242264138
"129",-2.36265197559518
"130",-0.36067157610227
"131",-1.96402298435542
"132",-1.68055095165994
"133",-1.19214875845284
"134",-0.607103223678502
"135",-0.597830400888918
"136",2.88686060943194
"137",-2.14387000270012
"138",-0.390427132767461
"139",0.0933031041140305
"140",0.968812800932303
"141",-2.34099732038235
"142",1.02739982797054
"143",-1.59955629159051
"144",-1.97505362986676
"145",-0.576551014942081
"146",-1.65675463424827
"147",-1.24311827056731
"148",-0.419352240559592
"149",-1.80289748725228
"150",-2.54979351359733
"151",-0.902120644799649
"152",-3.7820217989976
"153",-0.24864407857424
"154",-0.671613200827892
"155",-2.07917448251752
"156",-1.07217618880402
"157",-2.73674410736177
"158",-0.282959836377709
"159",-0.467212490463093
"160",-2.40228294144007
"161",-3.10022316181756
"162",0.405232760148393
"163",-0.190576032639966
"164",-2.97369786571243
"165",-1.94506763476307
"166",-2.01518296458149
"167",-1.92374600609117
"168",-0.275955688134278
"169",-5.35344382648534
"170",-1.93004031998794
"171",0.506445793603198
"172",-2.50173840159963
"173",-3.56516706351455
"174",-1.12152918085982
"175",-0.520155470513689
"176",-0.401382994957494
"177",-2.8864399555463
"178",-1.02993946717624
"179",1.59082811801568
"180",-2.91760207143875
"181",-2.96018785484257
"182",-2.01238186578709
"183",-1.23107677887459
"184",-2.4328044372533
"185",-1.9031801853003
"186",-2.45479613705614
