"","predictm3"
"1",0.286124784374491
"2",0.101907528925314
"3",7.45362150626501
"4",0.278419745862766
"5",0.190161136002889
"6",0.0560163717253553
"7",0.0474717833573259
"8",0.226620462026056
"9",0.165462947052658
"10",0.132049704322327
"11",0.278614768499774
"12",1.03757769534014
"13",0.750168830155464
"14",0.731600187328708
"15",0.312014679211692
"16",0.138289197024936
"17",0.68261056721625
"18",0.227243285240298
"19",0.134422928418574
"20",0.108790366186495
"21",0.264945335289332
"22",0.473753793625841
"23",0.129314216109154
"24",0.124074083799029
"25",0.19363094883208
"26",0.298139117970513
"27",0.0473277118241235
"28",0.10303534603149
"29",0.107713877825044
"30",0.17241326657914
"31",0.384029049642181
"32",0.0729747515955911
"33",0.848205308278028
"34",0.310373447385972
"35",0.104810909627986
"36",1.54910393970695
"37",0.16558702329361
"38",0.0431166030987299
"39",0.128044886434784
"40",0.557918307458721
"41",0.802970589377152
"42",0.150822193556081
"43",0.251223060478748
"44",0.0461264332002177
"45",0.135123751221253
"46",0.363541877313873
"47",0.0517331470129544
"48",0.18695336171104
"49",0.124749172291876
"50",0.311089982266678
"51",0.0451261766889353
"52",0.226441765658569
"53",0.134978744578209
"54",0.303137054403442
"55",0.142567314135325
"56",0.658569734219033
"57",1.78613740430299
"58",0.218566026184399
"59",0.244137779234982
"60",0.214001521859886
"61",0.776134308662162
"62",0.0513850785387817
"63",0.139513792511753
"64",0.174892319185198
"65",0.124088220692157
"66",0.0447857227065734
"67",1.33427408837606
"68",0.11248676731371
"69",0.189548936000019
"70",0.0626124487770123
"71",0.136817286898402
"72",0.137596343159178
"73",0.0736702902700543
"74",0.215281426022931
"75",0.759522098164732
"76",0.134273799503
"77",0.0518915248576737
"78",0.166909188581265
"79",0.386900452488961
"80",0.188312879622846
"81",0.256818185984536
"82",0.160943255259677
"83",0.0451261766889353
"84",0.154197424721661
"85",0.198511547446645
"86",0.264902595680301
"87",0.047045036018133
"88",0.0467505199191678
"89",1.64756384398088
"90",0.124088220692157
"91",0.527611358326898
"92",0.346814369708636
"93",0.165462947052658
"94",0.352661660467318
"95",0.194663427934426
"96",0.268153421845394
"97",0.450477676918807
"98",0.159967287336713
